,Retorno_alvo,Sinal
2018-05-29,-0.032159346011525,1
2018-05-30,-0.0355509735245132,1
2018-06-01,-0.0531595140026288,1
2018-06-11,-0.0152803497273929,-1
2018-06-12,-0.031446182301678303,-1
2018-06-13,-0.0210286674462221,-1
2018-06-14,-0.0292093267070941,-1
2018-06-15,-0.0253231670825134,-1
2018-06-25,-0.006586293733855439,1
2018-06-26,0.0171365160887826,1
2018-06-27,0.007799430190926549,1
2018-06-28,0.00999457807334481,1
2018-06-29,-0.00389311868653119,1
2018-07-10,0.0379327873213742,-1
2018-07-11,0.04913450859188791,-1
2018-07-12,0.022478134948165498,-1
2018-07-13,0.028741994007540003,-1
2018-07-16,-0.00263850603374138,-1
2018-07-23,0.0428955844390531,1
2018-07-24,0.0168687940861565,1
2018-07-25,0.0211638893195985,1
2018-07-26,-0.0296632668206517,1
2018-07-27,-0.0323068594652238,1
2018-07-30,-0.0274110854041255,1
2018-07-31,-0.00721271034428406,1
2018-08-07,-0.008346401791543891,-1
2018-08-08,0.0010437671277399,-1
2018-08-09,-0.0062273585378429495,-1
2018-08-10,0.0037015963059094897,-1
2018-08-13,-0.0125391412548093,-1
2018-08-14,-0.0242142182652098,-1
2018-08-15,-0.0180227118463625,-1
2018-08-22,-0.0026454290122068804,1
2018-08-23,-0.0163675678413213,1
2018-08-24,-0.0555847079518976,1
2018-08-27,-0.051751173270450194,1
2018-08-28,-0.040837677503391,1
2018-08-29,-0.049870012833181494,1
2018-09-05,0.0121280456179484,-1
2018-09-06,0.025654907450045797,-1
2018-09-10,0.027337229762104398,-1
2018-09-11,0.0307860363142292,-1
2018-09-12,0.0216802566266241,-1
2018-09-13,0.00327344356150272,-1
2018-09-20,-0.0170666075511576,1
2018-09-21,-0.0318303819116339,1
2018-09-24,-0.0141381701577823,1
2018-09-25,-0.02880447385214,1
2018-09-26,-0.0561497834341054,1
2018-09-27,-0.025974053302081003,1
2018-09-28,-0.0468921245543787,1
2018-10-05,-0.0339944280719811,-1
2018-10-08,-0.0749998409724756,-1
2018-10-09,-0.0354690013535706,-1
2018-10-10,-0.022093084085690703,-1
2018-10-11,-0.021188893542077997,-1
2018-10-22,-0.028537545899108098,1
2018-10-23,-0.0156343899288908,1
2018-10-24,0.0358715843424706,1
2018-10-25,0.109333203518875,1
2018-10-26,0.0763660862267919,1
2018-11-05,-0.026123919353746403,-1
2018-11-06,-0.00841331953671398,-1
2018-11-07,0.00672781339127804,-1
2018-11-08,0.042647994032362496,-1
2018-11-09,0.0261194293039519,-1
2018-11-19,0.0109354812120983,1
2018-11-21,0.0329670677514611,1
2018-11-22,0.0145454688289171,1
2018-11-23,0.027777803708187897,1
2018-11-26,0.0241486305003165,1
2018-12-03,-0.047192291776403404,-1
2018-12-04,-0.0198199675736365,-1
2018-12-05,-0.029020649332041,-1
2018-12-06,-0.0176937119809137,-1
2018-12-07,-0.0142769718320672,-1
2018-12-10,-0.0109056724288868,-1
2018-12-11,-0.0267836880285168,-1
2018-12-18,0.037917826750938396,1
2018-12-19,0.0603895906189906,1
2018-12-20,0.0880999226330537,1
2018-12-21,0.0863545744321754,1
2018-12-26,0.0667107232195649,1
2019-01-02,0.07058821601857819,-1
2019-01-03,0.0740969127647451,-1
2019-01-04,0.0694864508180721,-1
2019-01-07,0.0800971511354989,-1
2019-01-08,0.10526316479335099,-1
2019-01-09,0.0989010655276914,-1
2019-01-16,0.00842716305053748,1
2019-01-17,0.00112056125544124,1
2019-01-18,-0.00166659973140826,1
2019-01-21,-0.0272221481654966,1
2019-01-22,0.0324971072977562,1
2019-01-23,0.0739232379418524,1
2019-01-24,0.0862470977490874,1
2019-01-31,0.0685321693737673,-1
2019-02-01,0.0309221057375997,-1
2019-02-04,-0.00325213121009915,-1
2019-02-05,-0.00268244711676535,-1
2019-02-06,0.022111673540935198,-1
2019-02-07,-0.0298666876506626,-1
2019-02-08,0.0054883893312203105,-1
2019-02-15,0.0,1
2019-02-18,0.00934586454309283,1
2019-02-19,-0.0594977046094247,1
2019-02-20,-0.07658394293559499,1
2019-02-21,-0.0889736613456991,1
2019-02-22,-0.09443215045463241,1
2019-03-07,0.037147872474679405,-1
2019-03-08,0.036166312903088,-1
2019-03-18,-0.044482865244919,1
2019-03-19,-0.0255963355399038,1
2019-03-20,-0.00999995143720356,1
2019-03-21,-0.009422742265026039,1
2019-03-22,0.00299060614293789,1
2019-04-01,0.043400560610108,-1
2019-04-02,0.028622460652439702,-1
2019-04-03,0.0130641310011979,-1
2019-04-04,0.00577376604862767,-1
2019-04-05,0.00516052477715823,-1
2019-04-08,-0.0172912227480565,-1
2019-04-15,0.0510905673166533,1
2019-04-16,0.0433542767225044,1
2019-04-17,0.0762463949319008,1
2019-04-18,0.0813817734383937,1
2019-04-22,0.0257144621463994,1
2019-04-23,0.0141482643172102,1
2019-04-30,-0.0633460017084857,-1
2019-05-02,-0.052367835220976204,-1
2019-05-03,-0.0546874090974141,-1
2019-05-06,-0.0802878902168888,-1
2019-05-07,-0.057223874449936506,-1
2019-05-14,0.0159384022185078,1
2019-05-15,0.027092171420688,1
2019-05-16,0.0348557915543686,1
2019-05-17,0.0497271246978543,1
2019-05-20,0.0466951269741314,1
2019-05-21,0.0198948281039808,1
2019-05-22,0.0197559840704409,1
2019-05-29,0.0202780602513142,-1
2019-05-30,0.012621914877661001,-1
2019-05-31,0.00968668356922131,-1
2019-06-03,0.014925238013821401,-1
2019-06-04,0.028818297886644,-1
2019-06-05,0.0132108549254124,-1
2019-06-06,0.0090701896125458,-1
2019-06-13,0.0179272012301626,1
2019-06-14,0.0260770876415388,1
2019-06-17,0.0140449942625316,1
2019-06-18,-0.008864339542495209,1
2019-06-19,-0.021428524904619998,1
2019-06-21,-0.0173442599740724,1
2019-06-28,0.0631638271943993,-1
2019-07-01,0.049410378136385706,-1
2019-07-02,0.00386104353200034,-1
2019-07-03,-0.0313163074921015,-1
2019-07-04,-0.0473682498290096,-1
2019-07-05,-0.053157862896285,-1
2019-07-15,-0.0158904486163264,1
2019-07-16,0.0767954907807835,1
2019-07-17,0.100611436089379,1
2019-07-18,0.12328758543115499,1
2019-07-19,0.124378207549184,1
2019-07-29,0.00634153589845465,-1
2019-07-30,-0.00835787412057887,-1
2019-07-31,-0.0029805065115438,-1
2019-08-01,-0.0460333355621313,-1
2019-08-02,-0.0541728629513632,-1
2019-08-12,-0.0349075374007196,1
2019-08-13,-0.046955562526733496,1
2019-08-14,-0.0357706368062738,1
2019-08-15,-0.036741150766292,1
2019-08-16,-0.0386242086070712,1
2019-08-19,-0.05023561609724139,1
2019-08-26,0.0392482468640141,-1
2019-08-27,0.0286185186421399,-1
2019-08-28,0.0314050399333388,-1
2019-08-29,0.017250875478749497,-1
2019-08-30,0.005341854065499921,-1
2019-09-02,0.0288357834873463,-1
2019-09-03,0.045896388467978395,-1
2019-09-10,0.0281616174545474,1
2019-09-11,0.0253832714242577,1
2019-09-12,0.00206492949213843,1
2019-09-13,0.013089051511187898,1
2019-09-16,0.0234986354949933,1
2019-09-17,0.0051467099128081895,1
2019-09-24,-0.0397933570729326,-1
2019-09-25,-0.019897917553296,-1
2019-09-26,-0.0337939979950179,-1
2019-09-27,-0.0437018551623488,-1
2019-09-30,-0.030129885982067898,-1
2019-10-01,-0.0460899985885905,-1
2019-10-02,-0.0148463296263761,-1
2019-10-09,0.0,1
2019-10-10,0.030944589190292204,1
2019-10-11,0.0102261133489079,1
2019-10-14,-0.00213674162619992,1
2019-10-15,0.0158813973540848,1
2019-10-16,-0.0682901038747525,1
2019-10-17,-0.0655300579948646,1
2019-10-24,-0.0844188894036666,-1
2019-10-25,0.00624996955539325,-1
2019-10-28,-0.00114024514425781,-1
2019-10-29,-0.0011376508797738,-1
2019-10-30,-0.014806426392893599,-1
2019-10-31,0.00920624465385211,-1
2019-11-01,0.0023083693412933003,-1
2019-11-08,0.0445087613005448,1
2019-11-11,0.0370580878747879,1
2019-11-12,0.0477833540985488,1
2019-11-13,0.0379964145346801,1
2019-11-14,0.029226338751007698,1
2019-11-22,-0.0175919965539387,-1
2019-11-25,0.00549442049882543,-1
2019-11-26,0.00665548252086823,-1
2019-11-27,0.027282894125422,-1
2019-11-28,0.0238756859013878,-1
2019-11-29,0.017728561808553,-1
2019-12-09,0.035249572714623596,1
2019-12-10,0.0435492797847807,1
2019-12-11,0.051851270958577195,1
2019-12-12,0.0405331221172565,1
2019-12-13,0.037601073942566995,1
2019-12-23,0.00527426596417091,-1
2019-12-26,-0.013007188206961999,-1
2019-12-27,-0.0177452741708645,-1
2019-12-30,0.0117835973469504,-1
2020-01-06,-0.0136698752933361,1
2020-01-07,-0.018887673582872598,1
2020-01-08,-0.014232988868946701,1
2020-01-09,-0.00106267817477568,1
2020-01-10,-0.00794071578638411,1
2020-01-13,-0.00832904506161547,1
